ts,are_entities_within_7m,are_red_traffic_lights_for_ego,are_stop_signs_for_ego,is_stopped,prop_eval
0,False,False,True,True,True
1,False,False,True,False,True
2,False,False,True,False,True
3,False,False,True,False,True
4,False,False,True,False,True
5,False,False,True,False,True
6,False,False,True,False,True
7,False,False,True,False,True
8,False,False,True,False,True
9,False,False,True,False,True
10,False,False,True,False,True
11,False,False,True,False,True
12,False,False,True,False,True
13,False,False,True,False,True
14,False,False,True,False,True
15,False,False,True,False,True
16,False,False,True,False,True
17,False,False,True,False,True
18,False,False,True,False,True
19,False,False,True,False,True
20,False,False,True,False,True
21,False,False,True,False,True
22,False,False,True,False,True
23,False,False,True,False,True
24,False,False,True,False,True
25,False,False,True,False,True
26,False,False,True,False,True
27,False,False,False,False,True
28,False,False,False,False,True
29,False,False,False,False,True
30,False,False,False,False,True
31,False,False,False,False,True
32,False,False,False,False,True
33,False,False,False,False,True
34,False,False,False,False,True
35,False,False,False,False,True
36,False,False,False,False,True
37,False,False,False,False,True
38,False,False,False,False,True
39,False,False,False,False,True
40,False,False,False,False,True
41,False,False,False,False,True
42,False,False,False,False,True
43,False,False,False,False,True
44,False,False,False,False,True
45,False,False,False,False,True
46,False,False,False,False,True
47,False,False,False,False,True
48,False,False,False,False,True
49,False,False,False,False,True
50,False,False,False,False,True
51,False,False,False,False,True
52,False,False,False,False,True
53,False,False,False,False,True
54,False,False,False,False,True
55,False,False,False,False,True
56,False,False,False,False,True
57,False,False,True,False,True
58,False,False,True,False,True
59,False,False,True,False,True
60,False,False,True,False,True
61,False,False,True,False,True
62,False,False,True,False,True
63,False,False,True,False,True
64,False,False,True,False,True
65,False,False,True,False,True
66,False,False,True,False,True
67,False,False,True,False,True
68,False,False,True,False,True
69,False,False,True,False,True
70,False,False,True,False,True
71,False,False,True,False,True
72,False,False,True,False,True
73,False,False,True,False,True
74,False,False,True,False,True
75,False,False,True,False,True
76,False,False,True,False,True
77,False,False,True,False,True
78,False,False,True,False,True
79,False,False,True,False,True
80,False,False,True,False,True
81,False,False,True,False,True
82,False,False,True,False,True
83,False,False,True,False,True
84,False,False,True,False,True
85,False,False,True,False,True
86,False,False,True,False,True
87,False,False,True,False,True
88,False,False,True,False,True
89,False,False,True,False,True
90,False,False,True,False,True
91,False,False,True,False,True
92,False,False,True,False,True
93,False,False,True,False,True
94,False,False,True,False,True
95,False,False,True,False,True
96,False,False,True,False,True
97,False,False,True,False,True
98,False,False,True,False,True
99,False,False,True,False,True
100,False,False,True,False,True
101,False,False,True,False,True
102,False,False,True,True,True
103,False,False,True,False,True
104,False,False,True,False,True
105,False,False,True,False,True
106,False,False,True,False,True
107,False,False,True,False,True
108,False,False,True,False,True
109,False,False,True,False,True
110,False,False,True,False,True
111,False,False,True,False,True
112,False,False,True,False,True
113,False,False,True,False,True
114,False,False,True,False,True
115,False,False,True,False,True
116,False,False,True,False,True
117,False,False,True,False,True
118,False,False,True,False,True
119,False,False,True,False,True
120,False,False,True,False,True
121,False,False,True,False,True
122,False,False,True,True,True
123,False,False,True,False,True
124,False,False,True,False,True
125,False,False,True,False,True
126,False,False,True,False,True
127,False,False,True,True,True
128,False,False,True,True,True
129,False,False,True,False,True
130,False,False,True,True,True
131,False,False,True,True,True
132,False,False,True,False,True
133,False,False,True,True,True
134,False,False,True,True,True
135,False,False,True,False,True
136,False,False,True,True,True
137,False,False,True,True,True
138,False,False,True,True,True
139,False,False,True,True,True
140,False,False,True,True,True
141,False,False,True,True,True
142,False,False,True,True,True
143,False,False,True,True,True
144,False,False,True,True,True
145,False,False,True,True,True
146,False,False,True,True,True
147,False,False,True,True,True
148,False,False,True,True,True
149,False,False,True,True,True
150,False,False,True,False,True
151,False,False,True,True,True
152,False,False,True,False,True
153,False,False,True,False,True
154,False,False,True,False,True
155,False,False,True,False,True
156,False,False,True,False,True
157,False,False,True,False,True
158,False,False,True,False,True
159,False,False,True,False,True
160,False,False,True,False,True
161,False,False,True,False,True
162,False,False,True,False,True
163,False,False,True,True,True
164,False,False,True,True,True
165,False,False,True,False,True
166,False,False,True,True,True
167,False,False,True,True,True
168,False,False,True,True,True
169,False,False,True,True,True
170,False,False,True,True,True
171,False,False,True,True,True
172,False,False,True,True,True
173,False,False,True,True,True
174,False,False,True,True,True
175,False,False,True,True,True
176,False,False,True,True,True
177,False,False,True,True,True
178,False,False,True,True,True
179,False,False,True,False,True
180,False,False,True,False,True
181,False,False,True,False,True
182,False,False,True,False,True
183,False,False,True,False,True
184,False,False,True,False,True
185,False,False,True,False,True
186,False,False,True,False,True
187,False,False,True,False,True
188,False,False,True,False,True
189,False,False,True,False,True
190,False,False,True,True,True
191,False,False,True,True,True
192,False,False,True,True,True
193,False,False,True,True,True
194,False,False,True,True,True
195,False,False,True,True,True
196,False,False,True,True,True
197,False,False,True,True,True
198,False,False,True,True,True
199,False,False,True,True,True
200,False,False,True,True,True
201,False,False,True,True,True
202,False,False,True,True,True
203,False,False,True,True,True
204,False,False,True,True,True
205,False,False,True,True,True
206,False,False,True,True,True
207,False,False,True,True,True
208,False,False,True,True,True
209,False,False,True,True,True
210,False,False,True,True,True
211,False,False,True,True,True
212,False,False,True,True,True
213,False,False,True,True,True
214,False,False,True,True,True
215,False,False,True,True,True
216,False,False,True,True,True
217,False,False,True,False,True
218,False,False,True,False,True
219,False,False,True,False,True
220,False,False,True,False,True
221,False,False,True,False,True
222,False,False,True,True,True
223,False,False,True,True,True
224,False,False,True,True,True
225,False,False,True,True,True
226,False,False,True,True,True
227,False,False,True,True,True
228,False,False,True,True,True
229,False,False,True,True,True
230,False,False,True,True,True
231,False,False,True,True,True
232,False,False,True,True,True
233,False,False,True,True,True
234,False,False,True,True,True
235,False,False,True,True,True
236,False,False,True,True,True
237,False,False,True,True,True
238,False,False,True,True,True
239,False,False,True,True,True
240,False,False,True,True,True
241,False,False,True,True,True
242,False,False,True,True,True
243,False,False,True,True,True
244,False,False,True,True,True
245,False,False,True,True,True
246,False,False,True,True,True
247,False,False,True,True,True
248,False,False,True,True,True
249,False,False,True,True,True
250,False,False,True,True,True
251,False,False,True,True,True
252,False,False,True,True,True
253,False,False,True,True,True
254,False,False,True,True,True
255,False,False,True,True,True
256,False,False,True,True,True
257,False,False,True,True,True
258,False,False,True,True,True
259,False,False,True,True,True
260,False,False,True,True,True
261,False,False,True,True,True
262,False,False,True,True,True
263,False,False,True,True,True
264,False,False,True,True,True
265,False,False,True,True,True
266,False,False,True,True,True
267,False,False,True,True,True
268,False,False,True,True,True
269,False,False,True,True,True
270,False,False,True,True,True
271,False,False,True,True,True
272,False,False,True,True,True
273,False,False,True,True,True
274,False,False,True,True,True
275,False,False,True,True,True
276,False,False,True,True,True
277,False,False,True,True,True
278,False,False,True,True,True
279,False,False,True,True,True
280,False,False,True,True,True
281,False,False,True,True,True
282,False,False,True,True,True
283,False,False,True,True,True
284,False,False,True,True,True
285,False,False,True,True,True
286,False,False,True,True,True
287,False,False,True,True,True
288,False,False,True,True,True
289,False,False,True,True,True
290,False,False,True,True,True
291,False,False,True,True,True
292,False,False,True,True,True
293,False,False,True,True,True
294,False,False,True,True,True
295,False,False,True,True,True
296,False,False,True,True,True
297,False,False,True,True,True
298,False,False,True,True,True
299,False,False,True,True,True
300,False,False,True,True,True
301,False,False,True,True,True
302,False,False,True,True,True
303,False,False,True,True,True
304,False,False,True,True,True
305,False,False,True,True,True
306,False,False,True,True,True
307,False,False,True,True,True
308,False,False,True,True,True
309,False,False,True,True,True
310,False,False,True,True,True
311,False,False,True,True,True
312,False,False,True,True,True
313,False,False,True,True,True
314,False,False,True,True,True
315,False,False,True,True,True
316,False,False,True,True,True
317,False,False,True,True,True
318,False,False,True,True,True
319,False,False,True,True,True
320,False,False,True,True,True
321,False,False,True,True,True
322,False,False,True,True,True
323,False,False,True,True,True
324,False,False,True,True,True
325,False,False,True,True,True
326,False,False,True,True,True
327,False,False,True,True,True
328,False,False,True,True,True
329,False,False,True,True,True
330,False,False,True,True,True
331,False,False,True,True,True
332,False,False,True,True,True
333,False,False,True,True,True
334,False,False,True,True,True
335,False,False,True,True,True
336,False,False,True,True,True
337,False,False,True,True,True
338,False,False,True,False,True
339,False,False,True,False,True
340,False,False,True,False,True
341,False,False,True,False,True
342,False,False,True,False,True
343,False,False,True,False,True
344,False,False,True,True,True
345,False,False,True,True,True
346,False,False,True,True,True
347,False,False,True,True,True
348,False,False,True,True,True
349,False,False,True,True,True
350,False,False,True,True,True
351,False,False,True,True,True
352,False,False,True,True,True
353,False,False,True,True,True
354,False,False,True,True,True
355,False,False,True,True,True
356,False,False,True,True,True
357,False,False,True,True,True
358,False,False,True,True,True
359,False,False,True,True,True
360,False,False,True,True,True
361,False,False,True,True,True
362,False,False,True,True,True
363,False,False,True,True,True
364,False,False,True,True,True
365,False,False,True,True,True
366,False,False,True,True,True
367,False,False,True,True,True
368,False,False,True,True,True
369,False,False,True,True,True
370,False,False,True,True,True
371,False,False,True,True,True
372,False,False,True,True,True
373,False,False,True,True,True
374,False,False,True,True,True
375,False,False,True,True,True
376,False,False,True,True,True
377,False,False,True,True,True
378,False,False,True,True,True
379,False,False,True,True,True
380,False,False,True,True,True
381,False,False,True,True,True
382,False,False,True,True,True
383,False,False,True,True,True
384,False,False,True,True,True
385,False,False,True,True,True
386,False,False,True,True,True
387,False,False,True,True,True
388,False,False,True,True,True
389,False,False,True,True,True
390,False,False,True,True,True
391,False,False,True,True,True
392,False,False,True,True,True
393,False,False,True,True,True
394,False,False,True,True,True
395,False,False,True,True,True
396,False,False,True,True,True
397,False,False,True,True,True
398,False,False,True,True,True
399,False,False,True,True,True
400,False,False,True,True,True
401,False,False,True,True,True
402,False,False,True,True,True
403,False,False,True,True,True
404,False,False,True,True,True
405,False,False,True,True,True
406,False,False,True,True,True
407,False,False,True,True,True
408,False,False,True,True,True
409,False,False,True,True,True
410,False,False,True,True,True
411,False,False,True,True,True
412,False,False,True,True,True
413,False,False,True,True,True
414,False,False,True,True,True
415,False,False,True,True,True
416,False,False,True,True,True
417,False,False,True,True,True
418,False,False,True,True,True
419,False,False,True,True,True
420,False,False,True,True,True
421,False,False,True,True,True
422,False,False,True,True,True
423,False,False,True,True,True
424,False,False,True,True,True
425,False,False,True,True,True
426,False,False,True,True,True
427,False,False,True,True,True
428,False,False,True,True,True
429,False,False,True,True,True
430,False,False,True,True,True
431,False,False,True,True,True
432,False,False,True,True,True
433,False,False,True,True,True
434,False,False,True,True,True
435,False,False,True,True,True
436,False,False,True,True,True
437,False,False,True,True,True
438,False,False,True,True,True
439,False,False,True,True,True
440,False,False,True,True,True
441,False,False,True,True,True
442,False,False,True,True,True
443,False,False,True,True,True
444,False,False,True,True,True
445,False,False,True,True,True
446,False,False,True,True,True
447,False,False,True,True,True
448,False,False,True,True,True
449,False,False,True,True,True
450,False,False,True,True,True
451,False,False,True,True,True
452,False,False,True,True,True
453,False,False,True,True,True
454,False,False,True,True,True
455,False,False,True,True,True
456,False,False,True,True,True
457,False,False,True,True,True
458,False,False,True,True,True
459,False,False,True,True,True
460,False,False,True,False,True
461,False,False,True,False,True
462,False,False,True,False,True
463,False,False,True,False,True
464,False,False,True,False,True
465,False,False,True,False,True
466,False,False,True,True,True
467,False,False,True,True,True
468,False,False,True,True,True
469,False,False,True,True,True
470,False,False,True,True,True
471,False,False,True,True,True
472,False,False,True,True,True
473,False,False,True,True,True
474,False,False,True,True,True
475,False,False,True,True,True
476,False,False,True,True,True
477,False,False,True,True,True
478,False,False,True,True,True
479,False,False,True,True,True
480,False,False,True,True,True
481,False,False,True,True,True
482,False,False,True,True,True
483,False,False,True,True,True
484,False,False,True,True,True
485,False,False,True,True,True
486,False,False,True,True,True
487,False,False,True,True,True
488,False,False,True,True,True
489,False,False,True,True,True
490,False,False,True,True,True
491,False,False,True,True,True
492,False,False,True,True,True
493,False,False,True,True,True
494,False,False,True,True,True
